TidId,Start,Slut,Notat,EnhedsId,OprettelsesDato,Navn
24926,19-01-2007,21-01-2007,flytbar,254,19-01-2007,Elplads
24927,20-01-2007,21-01-2007,flytbar,171,20-01-2007,Elplads
24928,19-01-2007,21-01-2007,flytbar,161,20-01-2007,Elplads
24929,19-01-2007,21-01-2007,flytbar,84,06-11-2004,Elplads
24930,29-03-2007,31-03-2007,flytbar,58,23-01-2007,25 m2 Luksushytte
24931,31-01-2007,03-02-2007,flytbar,285,09-11-2006,25 m2 Luksushytte
24932,17-03-2007,18-03-2007,flytbar,275,23-01-2007,25 m2 Luksushytte
24965,28-08-2007,30-08-2007,flytbar,44,24-01-2007,15 m2 4pers
24966,20-04-2007,22-04-2007,flytbar,279,27-01-2004,25 m2 Luksushytte
24967,20-04-2007,22-04-2007,flytbar,280,27-01-2004,25 m2 Luksushytte
24968,20-04-2007,22-04-2007,flytbar,281,27-01-2004,25 m2 Luksushytte
24969,20-04-2007,22-04-2007,flytbar,282,27-01-2004,25 m2 Luksushytte
24970,20-04-2007,22-04-2007,flytbar,283,27-01-2004,25 m2 Luksushytte
24971,24-01-2007,25-01-2007,flytbar,144,24-01-2007,Elplads
24972,11-02-2007,16-02-2007,flytbar,143,25-01-2007,Elplads
24974,27-01-2007,29-01-2007,ikke flytbar,281,25-01-2007,25 m2 Luksushytte
24977,28-01-2007,01-02-2007,ikke flytbar,277,10-05-2004,25 m2 Luksushytte
24978,25-01-2007,26-01-2007,flytbar,276,21-08-2003,25 m2 Luksushytte
24979,25-01-2007,27-01-2007,flytbar,139,10-01-2007,Elplads
24980,14-02-2007,17-02-2007,flytbar,278,26-01-2007,25 m2 Luksushytte
24981,26-01-2007,28-01-2007,flytbar,142,26-01-2007,Elplads
24982,26-01-2007,28-01-2007,flytbar,146,26-01-2007,Elplads
24983,27-01-2007,29-01-2007,flytbar,139,29-01-2007,Elplads
24984,29-01-2007,31-01-2007,flytbar,274,25-04-2006,25 m2 Luksushytte
24987,29-01-2007,01-02-2007,flytbar,284,29-01-2007,25 m2 Luksushytte
24988,29-01-2007,01-02-2007,flytbar,282,30-01-2006,25 m2 Luksushytte
24989,29-01-2007,30-01-2007,flytbar,276,21-08-2003,25 m2 Luksushytte
24990,29-01-2007,30-01-2007,flytbar,278,21-08-2003,25 m2 Luksushytte
24991,29-01-2007,30-01-2007,flytbar,281,21-08-2003,25 m2 Luksushytte
24992,29-01-2007,01-02-2007,flytbar,36,04-09-2006,15 m2 4pers
24993,29-01-2007,30-01-2007,flytbar,285,21-08-2003,25 m2 Luksushytte
24994,29-01-2007,31-01-2007,flytbar,143,14-04-2003,Elplads
24995,29-01-2007,10-02-2007,flytbar,146,28-10-2005,Elplads
25000,16-02-2007,18-02-2007,flytbar,279,30-01-2007,25 m2 Luksushytte
25002,30-01-2007,31-01-2007,flytbar,278,21-08-2003,25 m2 Luksushytte
25004,05-02-2007,08-02-2007,flytbar,274,04-09-2006,25 m2 Luksushytte
25006,22-03-2007,25-03-2007,flytbar,57,01-02-2007,25 m2 Luksushytte
25007,01-02-2007,02-02-2007,flytbar,141,01-02-2007,Elplads
25008,02-02-2007,04-02-2007,flytbar,147,02-02-2007,Elplads
25009,02-02-2007,04-02-2007,flytbar,140,02-02-2007,Elplads
25010,02-02-2007,04-02-2007,flytbar,142,02-02-2007,Elplads
25011,05-02-2007,09-02-2007,flytbar,275,21-08-2003,25 m2 Luksushytte
25012,05-02-2007,09-02-2007,flytbar,281,03-02-2007,25 m2 Luksushytte
25014,03-02-2007,04-02-2007,flytbar,281,19-11-2005,25 m2 Luksushytte
25015,05-02-2007,09-02-2007,flytbar,279,30-03-2006,25 m2 Luksushytte
25016,12-02-2007,15-02-2007,flytbar,277,30-03-2006,25 m2 Luksushytte
25017,03-02-2007,04-02-2007,flytbar,143,03-02-2007,Elplads
25018,24-03-2007,25-03-2007,flytbar,58,04-02-2007,25 m2 Luksushytte
25019,04-02-2007,08-02-2007,flytbar,276,18-01-2007,25 m2 Luksushytte
25020,04-02-2007,01-03-2007,flytbar,39,07-05-2006,15 m2 4pers
25021,12-02-2007,14-02-2007,flytbar,275,05-02-2007,25 m2 Luksushytte
25023,11-04-2007,14-04-2007,flytbar,278,05-02-2007,25 m2 Luksushytte
25024,05-02-2007,09-02-2007,flytbar,284,16-11-2006,25 m2 Luksushytte
25025,11-02-2007,13-02-2007,flytbar,278,16-11-2006,25 m2 Luksushytte
25026,05-02-2007,09-04-2007,flytbar,41,05-02-2007,15 m2 4pers
25027,05-02-2007,08-02-2007,flytbar,145,05-02-2007,Elplads
25028,22-02-2007,24-02-2007,flytbar,281,05-02-2007,25 m2 Luksushytte
25031,12-02-2007,15-02-2007,flytbar,276,18-01-2007,25 m2 Luksushytte
25032,20-04-2007,22-04-2007,flytbar,274,06-02-2007,25 m2 Luksushytte
25033,20-04-2007,22-04-2007,flytbar,58,06-02-2007,25 m2 Luksushytte
25034,06-02-2007,08-02-2007,flytbar,282,06-02-2007,25 m2 Luksushytte
25035,12-02-2007,16-02-2007,flytbar,284,06-02-2007,25 m2 Luksushytte
25036,16-03-2007,19-03-2007,flytbar,276,06-02-2007,25 m2 Luksushytte
25039,07-02-2007,08-02-2007,flytbar,42,07-02-2007,15 m2 4pers
25040,17-02-2007,21-02-2007,flytbar,281,07-02-2007,25 m2 Luksushytte
25041,07-02-2007,09-02-2007,flytbar,43,07-02-2007,15 m2 4pers
25042,25-07-2007,31-07-2007,flytbar,285,07-02-2007,25 m2 Luksushytte
25043,17-03-2007,18-03-2007,flytbar,57,07-02-2007,25 m2 Luksushytte
25044,17-03-2007,18-03-2007,flytbar,58,07-02-2007,25 m2 Luksushytte
25045,11-02-2007,16-02-2007,ikke flytbar,279,21-08-2003,25 m2 Luksushytte
25050,10-02-2007,11-02-2007,flytbar,36,17-11-2003,15 m2 4pers
25051,10-02-2007,11-02-2007,flytbar,37,17-11-2003,15 m2 4pers
25053,12-02-2007,15-02-2007,flytbar,42,04-09-2006,15 m2 4pers
25054,19-02-2007,16-03-2007,flytbar,282,08-02-2007,25 m2 Luksushytte
25055,08-02-2007,10-02-2007,flytbar,141,05-12-2002,Elplads
25056,09-02-2007,11-02-2007,flytbar,142,13-09-2002,Elplads
25057,12-02-2007,13-02-2007,flytbar,282,21-08-2003,25 m2 Luksushytte
25058,08-02-2007,09-02-2007,flytbar,36,08-02-2007,15 m2 4pers
25060,31-03-2007,02-04-2007,flytbar,274,09-02-2007,25 m2 Luksushytte
25061,09-02-2007,14-02-2007,flytbar,139,09-02-2007,Elplads
25062,09-02-2007,10-02-2007,flytbar,140,25-11-2005,Elplads
25063,22-08-2007,25-08-2007,flytbar,57,09-02-2007,25 m2 Luksushytte
25064,09-02-2007,10-02-2007,flytbar,145,09-02-2007,Elplads
25065,25-05-2007,28-05-2007,flytbar,276,10-02-2007,25 m2 Luksushytte
25069,02-05-2007,05-05-2007,flytbar,274,12-02-2007,25 m2 Luksushytte
25070,19-02-2007,12-03-2007,flytbar,277,12-02-2007,25 m2 Luksushytte
25071,13-02-2007,28-02-2007,flytbar,172,12-02-2007,Elplads
25072,12-02-2007,16-02-2007,flytbar,281,21-08-2003,25 m2 Luksushytte
25073,12-02-2007,22-02-2007,flytbar,37,06-02-2007,15 m2 4pers
25074,22-02-2007,25-02-2007,flytbar,284,12-02-2007,25 m2 Luksushytte
25075,13-02-2007,15-02-2007,flytbar,36,13-02-2007,15 m2 4pers
25076,30-06-2007,07-07-2007,flytbar,57,13-02-2007,25 m2 Luksushytte
25077,13-02-2007,16-02-2007,flytbar,147,13-02-2007,Elplads
25078,31-03-2007,14-04-2007,flytbar,144,13-02-2007,Elplads
25079,31-03-2007,14-04-2007,flytbar,143,13-02-2007,Elplads
25080,13-02-2007,16-02-2007,flytbar,149,03-10-2006,Elplads
25081,16-02-2007,18-02-2007,flytbar,142,13-02-2007,Elplads
25082,13-02-2007,17-02-2007,flytbar,144,13-02-2007,Elplads
25083,13-02-2007,15-02-2007,flytbar,145,13-02-2007,Elplads
25084,17-02-2007,18-02-2007,flytbar,277,13-02-2007,25 m2 Luksushytte
25085,17-02-2007,18-02-2007,flytbar,278,13-02-2007,25 m2 Luksushytte
25086,13-02-2007,15-02-2007,flytbar,148,24-08-2005,Elplads
25088,16-01-2007,21-01-2007,flytbar,121,13-10-2006,Elplads
25089,12-02-2007,16-02-2007,flytbar,171,13-10-2006,Elplads
25090,14-02-2007,15-02-2007,flytbar,142,23-10-2005,Elplads
25092,14-02-2007,15-02-2007,flytbar,146,24-03-2006,Elplads
25093,15-02-2007,19-02-2007,flytbar,139,14-02-2007,Elplads
25095,14-02-2007,18-02-2007,flytbar,140,14-02-2007,Elplads
25096,16-02-2007,18-02-2007,flytbar,147,14-02-2007,Elplads
25098,19-02-2007,27-02-2007,flytbar,283,16-11-2006,25 m2 Luksushytte
25099,19-02-2007,22-02-2007,flytbar,274,18-01-2007,25 m2 Luksushytte
25100,19-02-2007,22-02-2007,flytbar,275,04-09-2006,25 m2 Luksushytte
25101,19-02-2007,23-02-2007,flytbar,276,30-03-2006,25 m2 Luksushytte
25102,19-02-2007,23-02-2007,flytbar,43,15-02-2007,15 m2 4pers
25103,15-02-2007,25-02-2007,flytbar,141,15-02-2007,Elplads
25104,02-03-2007,04-03-2007,flytbar,275,13-08-2005,25 m2 Luksushytte
25105,05-05-2007,07-05-2007,flytbar,278,16-02-2007,25 m2 Luksushytte
25107,16-02-2007,18-02-2007,flytbar,143,17-02-2006,Elplads
25108,16-02-2007,17-02-2007,flytbar,277,06-08-2002,25 m2 Luksushytte
25109,01-03-2007,04-04-2007,flytbar,279,16-02-2007,25 m2 Luksushytte
25110,18-02-2007,20-02-2007,flytbar,284,16-02-2007,25 m2 Luksushytte
25111,16-02-2007,18-02-2007,flytbar,145,16-02-2007,Elplads
25112,18-02-2007,19-02-2007,flytbar,279,17-02-2007,25 m2 Luksushytte
25113,16-02-2007,17-02-2007,flytbar,146,17-02-2007,Elplads
25115,04-03-2007,06-03-2007,flytbar,278,17-02-2007,25 m2 Luksushytte
